no;Lat;Lon;Fare;Time;CabID
452;37.79227;-122.42407;1;1211060422;30788
453;37.79176;-122.42594;1;1211060480;30788
454;37.78944;-122.4258;1;1211060541;30788
455;37.78301;-122.42427;1;1211060602;30788
456;37.78151;-122.42392;1;1211060665;30788
457;37.78154;-122.42394;1;1211060710;30788
458;37.78156;-122.42394;0;1211060713;30788
459;37.77963;-122.42362;0;1211060773;30788
460;37.77965;-122.42362;1;1211060795;30788
461;37.77882;-122.42341;1;1211060844;30788
462;37.7777;-122.42315;1;1211060910;30788
463;37.77593;-122.42364;1;1211060959;30788
464;37.77565;-122.42554;1;1211061019;30788
465;37.77491;-122.43094;1;1211061079;30788
466;37.77347;-122.43584;1;1211061139;30788
467;37.77152;-122.43553;1;1211061200;30788
468;37.77141;-122.4367;1;1211061260;30788
469;37.7714;-122.43672;0;1211061289;30788
470;37.77132;-122.43695;0;1211061378;30788
471;37.77248;-122.43551;0;1211061438;30788
472;37.77349;-122.43407;1;1211061491;30788
473;37.77382;-122.432;1;1211061552;30788
474;37.77129;-122.43033;1;1211061607;30788
475;37.76867;-122.43018;1;1211061667;30788
476;37.76557;-122.43104;1;1211061727;30788
477;37.76434;-122.43211;1;1211061788;30788
478;37.76431;-122.43254;1;1211061847;30788
479;37.76293;-122.43301;1;1211061907;30788
480;37.75952;-122.43268;1;1211061983;30788
481;37.75637;-122.43238;1;1211062027;30788
482;37.75634;-122.43242;0;1211062041;30788
483;37.75268;-122.432;0;1211062107;30788
484;37.75144;-122.43142;0;1211062162;30788
485;37.75168;-122.42847;0;1211062223;30788
486;37.75111;-122.42849;0;1211062283;30788
487;37.75169;-122.42785;0;1211062351;30788
488;37.75186;-122.42504;0;1211062410;30788
489;37.75198;-122.42262;0;1211062466;30788
490;37.75206;-122.42119;0;1211062526;30788
491;37.75207;-122.42111;0;1211062586;30788
492;37.75251;-122.41964;0;1211062649;30788
493;37.75373;-122.41973;0;1211062687;30788
494;37.7523;-122.41887;0;1211062783;30788
495;37.7522;-122.42025;0;1211062816;30788
496;37.75518;-122.42094;0;1211062916;30788
497;37.75717;-122.42112;0;1211062976;30788
498;37.75774;-122.42115;1;1211063015;30788
499;37.75854;-122.42194;1;1211063075;30788
500;37.7583;-122.42557;1;1211063136;30788
501;37.75814;-122.42796;1;1211063196;30788
502;37.75808;-122.42873;1;1211063256;30788
503;37.75806;-122.42874;1;1211063316;30788
504;37.75808;-122.42875;1;1211063376;30788
505;37.75807;-122.42875;1;1211063434;30788
506;37.75806;-122.42875;0;1211063436;30788
507;37.758;-122.42909;0;1211063557;30788
508;37.7581;-122.42813;0;1211063618;30788
509;37.7582;-122.42599;0;1211063678;30788
510;37.7584;-122.4237;0;1211063740;30788
511;37.75852;-122.42148;0;1211063792;30788
512;37.75872;-122.41922;0;1211063854;30788
513;37.75567;-122.41881;0;1211063917;30788
514;37.75513;-122.4186;1;1211063944;30788
515;37.75237;-122.41846;1;1211064004;30788
516;37.74927;-122.41819;1;1211064065;30788
517;37.74608;-122.41962;1;1211064126;30788
518;37.74348;-122.42128;1;1211064185;30788
519;37.74163;-122.42246;1;1211064255;30788
520;37.74054;-122.42319;1;1211064297;30788
521;37.74002;-122.42355;1;1211064337;30788
522;37.73626;-122.42445;1;1211064398;30788
523;37.73278;-122.42733;1;1211064463;30788
524;37.72881;-122.4312;1;1211064518;30788
525;37.72791;-122.43226;1;1211064573;30788
526;37.72791;-122.43226;0;1211064576;30788
527;37.72963;-122.43028;0;1211064639;30788
528;37.72962;-122.43029;0;1211064693;30788
529;37.72964;-122.43032;0;1211064754;30788
530;37.72966;-122.43035;0;1211064814;30788
531;37.72966;-122.43035;0;1211064875;30788
532;37.72966;-122.43034;0;1211064939;30788
533;37.72965;-122.43033;0;1211065002;30788
534;37.72966;-122.43033;0;1211065055;30788
535;37.72964;-122.43302;0;1211065109;30788
536;37.72969;-122.43374;0;1211065169;30788
537;37.72683;-122.4361;0;1211065229;30788
538;37.72522;-122.4379;0;1211065294;30788
539;37.72393;-122.43863;0;1211065369;30788
540;37.72145;-122.4402;0;1211065412;30788
541;37.72037;-122.44089;0;1211065471;30788
542;37.71894;-122.44373;0;1211065534;30788
543;37.71938;-122.44529;0;1211065575;30788
544;37.71933;-122.44529;0;1211065636;30788
545;37.71933;-122.44528;1;1211065673;30788
546;37.71827;-122.44295;1;1211065733;30788
547;37.71675;-122.44132;1;1211065793;30788
548;37.71675;-122.44132;1;1211065853;30788
549;37.71563;-122.43935;1;1211065930;30788
550;37.71426;-122.43623;1;1211065974;30788
551;37.71435;-122.43606;1;1211066033;30788
552;37.71758;-122.43368;1;1211066104;30788
553;37.72022;-122.42987;1;1211066158;30788
554;37.71789;-122.42547;1;1211066230;30788
555;37.71803;-122.41427;1;1211066276;30788
556;37.71996;-122.40682;1;1211066336;30788
557;37.72152;-122.40106;1;1211066400;30788
558;37.72497;-122.40251;1;1211066458;30788
559;37.7292;-122.40427;1;1211066534;30788
560;37.73087;-122.40495;1;1211066579;30788
561;37.73048;-122.40533;1;1211066639;30788
562;37.73048;-122.40519;1;1211066699;30788
563;37.73048;-122.40519;1;1211066760;30788
